Observation Date,Household Disposable Income (% Growth Rate)
1990-01,2.15489015
1990-02,2.15489015
1990-03,2.15489015
1990-04,2.15489015
1990-05,2.15489015
1990-06,2.15489015
1990-07,2.15489015
1990-08,2.15489015
1990-09,2.15489015
1990-10,2.15489015
1990-11,2.15489015
1990-12,2.15489015
1991-01,0.749597957
1991-02,0.749597957
1991-03,0.749597957
1991-04,0.749597957
1991-05,0.749597957
1991-06,0.749597957
1991-07,0.749597957
1991-08,0.749597957
1991-09,0.749597957
1991-10,0.749597957
1991-11,0.749597957
1991-12,0.749597957
1992-01,4.322894936
1992-02,4.322894936
1992-03,4.322894936
1992-04,4.322894936
1992-05,4.322894936
1992-06,4.322894936
1992-07,4.322894936
1992-08,4.322894936
1992-09,4.322894936
1992-10,4.322894936
1992-11,4.322894936
1992-12,4.322894936
1993-01,1.695208881
1993-02,1.695208881
1993-03,1.695208881
1993-04,1.695208881
1993-05,1.695208881
1993-06,1.695208881
1993-07,1.695208881
1993-08,1.695208881
1993-09,1.695208881
1993-10,1.695208881
1993-11,1.695208881
1993-12,1.695208881
1994-01,2.733451943
1994-02,2.733451943
1994-03,2.733451943
1994-04,2.733451943
1994-05,2.733451943
1994-06,2.733451943
1994-07,2.733451943
1994-08,2.733451943
1994-09,2.733451943
1994-10,2.733451943
1994-11,2.733451943
1994-12,2.733451943
1995-01,3.029647391
1995-02,3.029647391
1995-03,3.029647391
1995-04,3.029647391
1995-05,3.029647391
1995-06,3.029647391
1995-07,3.029647391
1995-08,3.029647391
1995-09,3.029647391
1995-10,3.029647391
1995-11,3.029647391
1995-12,3.029647391
1996-01,2.863987293
1996-02,2.863987293
1996-03,2.863987293
1996-04,2.863987293
1996-05,2.863987293
1996-06,2.863987293
1996-07,2.863987293
1996-08,2.863987293
1996-09,2.863987293
1996-10,2.863987293
1996-11,2.863987293
1996-12,2.863987293
1997-01,3.462621338
1997-02,3.462621338
1997-03,3.462621338
1997-04,3.462621338
1997-05,3.462621338
1997-06,3.462621338
1997-07,3.462621338
1997-08,3.462621338
1997-09,3.462621338
1997-10,3.462621338
1997-11,3.462621338
1997-12,3.462621338
1998-01,5.683728261
1998-02,5.683728261
1998-03,5.683728261
1998-04,5.683728261
1998-05,5.683728261
1998-06,5.683728261
1998-07,5.683728261
1998-08,5.683728261
1998-09,5.683728261
1998-10,5.683728261
1998-11,5.683728261
1998-12,5.683728261
1999-01,3.204827333
1999-02,3.204827333
1999-03,3.204827333
1999-04,3.204827333
1999-05,3.204827333
1999-06,3.204827333
1999-07,3.204827333
1999-08,3.204827333
1999-09,3.204827333
1999-10,3.204827333
1999-11,3.204827333
1999-12,3.204827333
2000-01,4.668898559
2000-02,4.668898559
2000-03,4.668898559
2000-04,4.668898559
2000-05,4.668898559
2000-06,4.668898559
2000-07,4.668898559
2000-08,4.668898559
2000-09,4.668898559
2000-10,4.668898559
2000-11,4.668898559
2000-12,4.668898559
2001-01,2.80680842
2001-02,2.80680842
2001-03,2.80680842
2001-04,2.80680842
2001-05,2.80680842
2001-06,2.80680842
2001-07,2.80680842
2001-08,2.80680842
2001-09,2.80680842
2001-10,2.80680842
2001-11,2.80680842
2001-12,2.80680842
2002-01,3.283266378
2002-02,3.283266378
2002-03,3.283266378
2002-04,3.283266378
2002-05,3.283266378
2002-06,3.283266378
2002-07,3.283266378
2002-08,3.283266378
2002-09,3.283266378
2002-10,3.283266378
2002-11,3.283266378
2002-12,3.283266378
2003-01,2.712630141
2003-02,2.712630141
2003-03,2.712630141
2003-04,2.712630141
2003-05,2.712630141
2003-06,2.712630141
2003-07,2.712630141
2003-08,2.712630141
2003-09,2.712630141
2003-10,2.712630141
2003-11,2.712630141
2003-12,2.712630141
2004-01,3.265981232
2004-02,3.265981232
2004-03,3.265981232
2004-04,3.265981232
2004-05,3.265981232
2004-06,3.265981232
2004-07,3.265981232
2004-08,3.265981232
2004-09,3.265981232
2004-10,3.265981232
2004-11,3.265981232
2004-12,3.265981232
2005-01,1.327464001
2005-02,1.327464001
2005-03,1.327464001
2005-04,1.327464001
2005-05,1.327464001
2005-06,1.327464001
2005-07,1.327464001
2005-08,1.327464001
2005-09,1.327464001
2005-10,1.327464001
2005-11,1.327464001
2005-12,1.327464001
2006-01,3.593956502
2006-02,3.593956502
2006-03,3.593956502
2006-04,3.593956502
2006-05,3.593956502
2006-06,3.593956502
2006-07,3.593956502
2006-08,3.593956502
2006-09,3.593956502
2006-10,3.593956502
2006-11,3.593956502
2006-12,3.593956502
2007-01,1.829294298
2007-02,1.829294298
2007-03,1.829294298
2007-04,1.829294298
2007-05,1.829294298
2007-06,1.829294298
2007-07,1.829294298
2007-08,1.829294298
2007-09,1.829294298
2007-10,1.829294298
2007-11,1.829294298
2007-12,1.829294298
2008-01,1.699384053
2008-02,1.699384053
2008-03,1.699384053
2008-04,1.699384053
2008-05,1.699384053
2008-06,1.699384053
2008-07,1.699384053
2008-08,1.699384053
2008-09,1.699384053
2008-10,1.699384053
2008-11,1.699384053
2008-12,1.699384053
2009-01,-0.079663773
2009-02,-0.079663773
2009-03,-0.079663773
2009-04,-0.079663773
2009-05,-0.079663773
2009-06,-0.079663773
2009-07,-0.079663773
2009-08,-0.079663773
2009-09,-0.079663773
2009-10,-0.079663773
2009-11,-0.079663773
2009-12,-0.079663773
2010-01,1.090976809
2010-02,1.090976809
2010-03,1.090976809
2010-04,1.090976809
2010-05,1.090976809
2010-06,1.090976809
2010-07,1.090976809
2010-08,1.090976809
2010-09,1.090976809
2010-10,1.090976809
2010-11,1.090976809
2010-12,1.090976809
2011-01,2.298970675
2011-02,2.298970675
2011-03,2.298970675
2011-04,2.298970675
2011-05,2.298970675
2011-06,2.298970675
2011-07,2.298970675
2011-08,2.298970675
2011-09,2.298970675
2011-10,2.298970675
2011-11,2.298970675
2011-12,2.298970675
2012-01,3.061922207
2012-02,3.061922207
2012-03,3.061922207
2012-04,3.061922207
2012-05,3.061922207
2012-06,3.061922207
2012-07,3.061922207
2012-08,3.061922207
2012-09,3.061922207
2012-10,3.061922207
2012-11,3.061922207
2012-12,3.061922207
2013-01,-1.304483607
2013-02,-1.304483607
2013-03,-1.304483607
2013-04,-1.304483607
2013-05,-1.304483607
2013-06,-1.304483607
2013-07,-1.304483607
2013-08,-1.304483607
2013-09,-1.304483607
2013-10,-1.304483607
2013-11,-1.304483607
2013-12,-1.304483607
2014-01,3.307292664
2014-02,3.307292664
2014-03,3.307292664
2014-04,3.307292664
2014-05,3.307292664
2014-06,3.307292664
2014-07,3.307292664
2014-08,3.307292664
2014-09,3.307292664
2014-10,3.307292664
2014-11,3.307292664
2014-12,3.307292664